LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MARIO A GUERRA,SALLY M HAVICE,TONY MENDOZA,CARLOS R ARVIZU,IRELLA PEREZ
ARTESIA,0400001A,115,137,N,819,POLLING PLACE,86,6,2,73,0,2
ARTESIA,0400001A,115,137,N,0,VBM PORTION,27,4,1,19,0,2
ARTESIA,0400001A,115,137,N,819,TOTAL,113,10,3,92,0,4
ARTESIA,0400002A,116,137,N,1182,POLLING PLACE,78,40,10,28,0,0
ARTESIA,0400002A,116,137,N,0,VBM PORTION,137,47,17,56,0,7
ARTESIA,0400002A,116,137,N,1182,TOTAL,215,87,27,84,0,7
ARTESIA,0400004A,117,137,N,1004,POLLING PLACE,89,17,6,47,4,5
ARTESIA,0400004A,117,137,N,0,VBM PORTION,66,22,5,25,0,6
ARTESIA,0400004A,117,137,N,1004,TOTAL,155,39,11,72,4,11
ARTESIA,0400006A,118,137,N,1042,POLLING PLACE,77,22,12,38,1,3
ARTESIA,0400006A,118,137,N,0,VBM PORTION,66,30,4,21,0,9
ARTESIA,0400006A,118,137,N,1042,TOTAL,143,52,16,59,1,12
ARTESIA,0400007A,119,137,N,1049,POLLING PLACE,85,21,6,47,1,2
ARTESIA,0400007A,119,137,N,0,VBM PORTION,95,35,7,34,3,7
ARTESIA,0400007A,119,137,N,1049,TOTAL,180,56,13,81,4,9
ARTESIA,0400008A,120,137,N,1154,POLLING PLACE,81,23,10,40,0,1
ARTESIA,0400008A,120,137,N,0,VBM PORTION,102,33,19,30,1,5
ARTESIA,0400008A,120,137,N,1154,TOTAL,183,56,29,70,1,6
ARTESIA,0400010C,121,137,N,1140,POLLING PLACE,59,26,6,19,0,5
ARTESIA,0400010C,121,137,N,0,VBM PORTION,99,48,8,19,1,8
ARTESIA,0400010C,121,137,N,1140,TOTAL,158,74,14,38,1,13
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,POLLING PLACE,0,0,0,0,0,0
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,VBM PORTION,0,0,0,0,0,0
AVOCADO HEIGHTS,0520003A,6015,126,Y,0,TOTAL,0,0,0,0,0,0
BELLFLOWER,0750006A,205,139,N,881,POLLING PLACE,32,19,2,6,0,5
BELLFLOWER,0750006A,205,139,N,0,VBM PORTION,66,27,10,11,2,6
BELLFLOWER,0750006A,205,139,N,881,TOTAL,98,46,12,17,2,11
BELLFLOWER,0750009A,206,139,N,1116,POLLING PLACE,62,27,10,18,1,2
BELLFLOWER,0750009A,206,139,N,0,VBM PORTION,66,31,6,17,0,5
BELLFLOWER,0750009A,206,139,N,1116,TOTAL,128,58,16,35,1,7
BELLFLOWER,0750010A,207,139,N,1076,POLLING PLACE,55,12,16,25,0,2
BELLFLOWER,0750010A,207,139,N,0,VBM PORTION,36,11,8,12,0,2
BELLFLOWER,0750010A,207,139,N,1076,TOTAL,91,23,24,37,0,4
BELLFLOWER,0750011A,208,139,N,1082,POLLING PLACE,97,50,15,22,0,2
BELLFLOWER,0750011A,208,139,N,0,VBM PORTION,63,29,9,14,2,3
BELLFLOWER,0750011A,208,139,N,1082,TOTAL,160,79,24,36,2,5
BELLFLOWER,0750012A,209,137,N,603,POLLING PLACE,25,7,4,12,0,1
BELLFLOWER,0750012A,209,137,N,0,VBM PORTION,27,11,3,9,0,3
BELLFLOWER,0750012A,209,137,N,603,TOTAL,52,18,7,21,0,4
BELLFLOWER,0750012D,210,137,N,942,POLLING PLACE,26,13,0,7,0,3
BELLFLOWER,0750012D,210,137,N,0,VBM PORTION,20,5,4,4,0,4
BELLFLOWER,0750012D,210,137,N,942,TOTAL,46,18,4,11,0,7
BELLFLOWER,0750014A,211,139,N,1050,POLLING PLACE,61,21,10,21,2,3
BELLFLOWER,0750014A,211,139,N,0,VBM PORTION,51,15,13,12,0,6
BELLFLOWER,0750014A,211,139,N,1050,TOTAL,112,36,23,33,2,9
BELLFLOWER,0750016A,212,139,N,1224,POLLING PLACE,63,28,12,15,1,6
BELLFLOWER,0750016A,212,139,N,0,VBM PORTION,77,25,11,16,2,17
BELLFLOWER,0750016A,212,139,N,1224,TOTAL,140,53,23,31,3,23
BELLFLOWER,0750017B,213,139,N,1266,POLLING PLACE,41,16,4,15,1,3
BELLFLOWER,0750017B,213,139,N,0,VBM PORTION,43,13,6,12,1,8
BELLFLOWER,0750017B,213,139,N,1266,TOTAL,84,29,10,27,2,11
BELLFLOWER,0750019A,214,139,N,1161,POLLING PLACE,65,21,11,21,1,7
BELLFLOWER,0750019A,214,139,N,0,VBM PORTION,65,19,10,17,0,9
BELLFLOWER,0750019A,214,139,N,1161,TOTAL,130,40,21,38,1,16
BELLFLOWER,0750021A,215,139,N,856,POLLING PLACE,59,23,7,15,3,6
BELLFLOWER,0750021A,215,139,N,0,VBM PORTION,59,24,5,18,1,5
BELLFLOWER,0750021A,215,139,N,856,TOTAL,118,47,12,33,4,11
BELLFLOWER,0750022A,216,137,N,1054,POLLING PLACE,103,51,12,27,2,5
BELLFLOWER,0750022A,216,137,N,0,VBM PORTION,84,47,8,18,3,2
BELLFLOWER,0750022A,216,137,N,1054,TOTAL,187,98,20,45,5,7
BELLFLOWER,0750024A,217,139,N,1096,POLLING PLACE,64,20,12,20,3,3
BELLFLOWER,0750024A,217,139,N,0,VBM PORTION,59,27,6,15,3,5
BELLFLOWER,0750024A,217,139,N,1096,TOTAL,123,47,18,35,6,8
BELLFLOWER,0750025A,218,139,N,607,POLLING PLACE,37,18,4,10,1,3
BELLFLOWER,0750025A,218,139,N,0,VBM PORTION,60,25,11,20,0,2
BELLFLOWER,0750025A,218,139,N,607,TOTAL,97,43,15,30,1,5
BELLFLOWER,0750027A,219,137,N,1088,POLLING PLACE,70,18,10,32,2,1
BELLFLOWER,0750027A,219,137,N,0,VBM PORTION,72,21,10,15,3,12
BELLFLOWER,0750027A,219,137,N,1088,TOTAL,142,39,20,47,5,13
BELLFLOWER,0750028A,220,139,N,1236,POLLING PLACE,81,28,17,25,0,4
BELLFLOWER,0750028A,220,139,N,0,VBM PORTION,70,29,4,20,1,9
BELLFLOWER,0750028A,220,139,N,1236,TOTAL,151,57,21,45,1,13
BELLFLOWER,0750029C,221,137,N,857,POLLING PLACE,46,14,6,15,0,5
BELLFLOWER,0750029C,221,137,N,0,VBM PORTION,44,18,9,11,0,3
BELLFLOWER,0750029C,221,137,N,857,TOTAL,90,32,15,26,0,8
BELLFLOWER,0750030A,222,137,N,1124,POLLING PLACE,84,20,24,23,2,7
BELLFLOWER,0750030A,222,137,N,0,VBM PORTION,66,34,9,11,0,5
BELLFLOWER,0750030A,222,137,N,1124,TOTAL,150,54,33,34,2,12
BELLFLOWER,0750031C,223,137,N,958,POLLING PLACE,53,17,9,17,2,4
BELLFLOWER,0750031C,223,137,N,0,VBM PORTION,56,17,9,12,0,10
BELLFLOWER,0750031C,223,137,N,958,TOTAL,109,34,18,29,2,14
BELLFLOWER,0750032A,224,137,N,873,POLLING PLACE,48,18,6,15,2,5
BELLFLOWER,0750032A,224,137,N,0,VBM PORTION,28,10,2,9,2,4
BELLFLOWER,0750032A,224,137,N,873,TOTAL,76,28,8,24,4,9
BELLFLOWER,0750032C,225,137,N,742,POLLING PLACE,33,18,6,4,1,3
BELLFLOWER,0750032C,225,137,N,0,VBM PORTION,36,9,11,8,0,7
BELLFLOWER,0750032C,225,137,N,742,TOTAL,69,27,17,12,1,10
BELLFLOWER,0750033A,226,137,N,997,POLLING PLACE,76,44,6,15,1,6
BELLFLOWER,0750033A,226,137,N,0,VBM PORTION,54,25,7,7,1,8
BELLFLOWER,0750033A,226,137,N,997,TOTAL,130,69,13,22,2,14
BELLFLOWER,0750034A,227,137,N,934,POLLING PLACE,71,42,10,10,0,6
BELLFLOWER,0750034A,227,137,N,0,VBM PORTION,75,33,14,11,6,2
BELLFLOWER,0750034A,227,137,N,934,TOTAL,146,75,24,21,6,8
BELLFLOWER,0750035A,228,137,N,921,POLLING PLACE,51,9,11,21,1,6
BELLFLOWER,0750035A,228,137,N,0,VBM PORTION,76,33,13,19,2,6
BELLFLOWER,0750035A,228,137,N,921,TOTAL,127,42,24,40,3,12
BELLFLOWER,0750036A,229,137,N,1025,POLLING PLACE,36,9,2,11,4,7
BELLFLOWER,0750036A,229,137,N,0,VBM PORTION,32,9,5,7,0,6
BELLFLOWER,0750036A,229,137,N,1025,TOTAL,68,18,7,18,4,13
BELLFLOWER,0750037B,230,139,N,597,POLLING PLACE,44,16,8,10,0,5
BELLFLOWER,0750037B,230,139,N,0,VBM PORTION,31,10,4,4,4,5
BELLFLOWER,0750037B,230,139,N,597,TOTAL,75,26,12,14,4,10
BELLFLOWER,0750040A,231,137,N,1078,POLLING PLACE,54,12,6,25,0,7
BELLFLOWER,0750040A,231,137,N,0,VBM PORTION,37,7,4,19,1,6
BELLFLOWER,0750040A,231,137,N,1078,TOTAL,91,19,10,44,1,13
BELLFLOWER,0750040D,232,137,N,906,POLLING PLACE,49,16,7,16,0,6
BELLFLOWER,0750040D,232,137,N,0,VBM PORTION,28,7,2,12,0,5
BELLFLOWER,0750040D,232,137,N,906,TOTAL,77,23,9,28,0,11
BELLFLOWER,0750041A,233,137,N,1058,POLLING PLACE,86,34,13,22,2,10
BELLFLOWER,0750041A,233,137,N,0,VBM PORTION,73,29,12,13,2,10
BELLFLOWER,0750041A,233,137,N,1058,TOTAL,159,63,25,35,4,20
BELLFLOWER,0750042A,234,139,N,1215,POLLING PLACE,84,42,10,15,2,8
BELLFLOWER,0750042A,234,139,N,0,VBM PORTION,61,22,12,9,1,5
BELLFLOWER,0750042A,234,139,N,1215,TOTAL,145,64,22,24,3,13
BELLFLOWER,0750043A,235,137,N,764,POLLING PLACE,91,57,11,16,0,2
BELLFLOWER,0750043A,235,137,N,0,VBM PORTION,71,37,8,13,0,6
BELLFLOWER,0750043A,235,137,N,764,TOTAL,162,94,19,29,0,8
BELLFLOWER,0750044A,236,139,N,984,POLLING PLACE,74,29,10,10,1,12
BELLFLOWER,0750044A,236,139,N,0,VBM PORTION,55,24,8,8,4,5
BELLFLOWER,0750044A,236,139,N,984,TOTAL,129,53,18,18,5,17
BELLFLOWER,0750045A,237,139,N,739,POLLING PLACE,58,24,1,19,0,9
BELLFLOWER,0750045A,237,139,N,0,VBM PORTION,42,15,7,10,0,4
BELLFLOWER,0750045A,237,139,N,739,TOTAL,100,39,8,29,0,13
BELLFLOWER,0750048A,238,137,N,1060,POLLING PLACE,86,23,10,34,0,6
BELLFLOWER,0750048A,238,137,N,0,VBM PORTION,80,24,16,23,1,8
BELLFLOWER,0750048A,238,137,N,1060,TOTAL,166,47,26,57,1,14
BELLFLOWER,0750054B,239,137,N,1194,POLLING PLACE,34,9,7,14,1,1
BELLFLOWER,0750054B,239,137,N,0,VBM PORTION,55,18,12,14,1,6
BELLFLOWER,0750054B,239,137,N,1194,TOTAL,89,27,19,28,2,7
CERRITOS,1070001A,431,137,N,1063,POLLING PLACE,76,33,12,26,0,2
CERRITOS,1070001A,431,137,N,0,VBM PORTION,102,43,14,20,1,6
CERRITOS,1070001A,431,137,N,1063,TOTAL,178,76,26,46,1,8
CERRITOS,1070002A,432,137,N,1004,POLLING PLACE,94,37,15,34,1,0
CERRITOS,1070002A,432,137,N,0,VBM PORTION,80,39,12,20,0,5
CERRITOS,1070002A,432,137,N,1004,TOTAL,174,76,27,54,1,5
CERRITOS,1070003A,433,137,N,762,POLLING PLACE,100,31,20,36,2,6
CERRITOS,1070003A,433,137,N,0,VBM PORTION,68,29,8,19,3,7
CERRITOS,1070003A,433,137,N,762,TOTAL,168,60,28,55,5,13
CERRITOS,1070004A,434,137,N,642,POLLING PLACE,66,36,7,14,0,6
CERRITOS,1070004A,434,137,N,0,VBM PORTION,74,30,8,21,0,8
CERRITOS,1070004A,434,137,N,642,TOTAL,140,66,15,35,0,14
CERRITOS,1070006A,435,137,N,973,POLLING PLACE,92,48,13,28,0,0
CERRITOS,1070006A,435,137,N,0,VBM PORTION,96,37,12,32,0,5
CERRITOS,1070006A,435,137,N,973,TOTAL,188,85,25,60,0,5
CERRITOS,1070007A,436,137,N,853,POLLING PLACE,68,25,10,24,1,3
CERRITOS,1070007A,436,137,N,0,VBM PORTION,81,32,10,24,0,12
CERRITOS,1070007A,436,137,N,853,TOTAL,149,57,20,48,1,15
CERRITOS,1070008A,437,137,N,821,POLLING PLACE,81,29,7,33,0,6
CERRITOS,1070008A,437,137,N,0,VBM PORTION,98,36,20,21,0,8
CERRITOS,1070008A,437,137,N,821,TOTAL,179,65,27,54,0,14
CERRITOS,1070010A,438,137,N,1320,POLLING PLACE,121,52,16,37,1,9
CERRITOS,1070010A,438,137,N,0,VBM PORTION,118,47,22,30,3,6
CERRITOS,1070010A,438,137,N,1320,TOTAL,239,99,38,67,4,15
CERRITOS,1070011A,439,137,N,1017,POLLING PLACE,67,24,13,20,0,4
CERRITOS,1070011A,439,137,N,0,VBM PORTION,114,36,15,38,0,13
CERRITOS,1070011A,439,137,N,1017,TOTAL,181,60,28,58,0,17
CERRITOS,1070012A,440,137,N,1026,POLLING PLACE,73,30,9,26,1,4
CERRITOS,1070012A,440,137,N,0,VBM PORTION,109,45,11,26,0,15
CERRITOS,1070012A,440,137,N,1026,TOTAL,182,75,20,52,1,19
CERRITOS,1070013A,441,137,N,891,POLLING PLACE,92,42,17,24,0,5
CERRITOS,1070013A,441,137,N,0,VBM PORTION,72,26,13,19,2,6
CERRITOS,1070013A,441,137,N,891,TOTAL,164,68,30,43,2,11
CERRITOS,1070014A,442,137,N,861,POLLING PLACE,74,33,6,22,0,6
CERRITOS,1070014A,442,137,N,0,VBM PORTION,75,37,9,15,3,3
CERRITOS,1070014A,442,137,N,861,TOTAL,149,70,15,37,3,9
CERRITOS,1070016D,443,137,N,1260,POLLING PLACE,93,39,14,26,4,7
CERRITOS,1070016D,443,137,N,0,VBM PORTION,127,46,25,28,2,5
CERRITOS,1070016D,443,137,N,1260,TOTAL,220,85,39,54,6,12
CERRITOS,1070017A,444,137,N,1313,POLLING PLACE,132,39,13,56,0,10
