LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,L ROYBAL-ALLARD,DAVID SANCHEZ
BELL,0700001A,195,164,N,1018,POLLING PLACE,63,44,11
BELL,0700001A,195,164,N,0,VBM PORTION,30,18,11
BELL,0700001A,195,164,N,1018,TOTAL,93,62,22
BELL,0700002A,196,164,N,1028,POLLING PLACE,56,32,16
BELL,0700002A,196,164,N,0,VBM PORTION,21,14,7
BELL,0700002A,196,164,N,1028,TOTAL,77,46,23
BELL,0700005A,197,164,N,1201,POLLING PLACE,50,31,13
BELL,0700005A,197,164,N,0,VBM PORTION,42,30,7
BELL,0700005A,197,164,N,1201,TOTAL,92,61,20
BELL,0700007B,198,164,N,1209,POLLING PLACE,77,50,16
BELL,0700007B,198,164,N,0,VBM PORTION,44,21,19
BELL,0700007B,198,164,N,1209,TOTAL,121,71,35
BELL,0700008A,199,164,N,1154,POLLING PLACE,70,40,19
BELL,0700008A,199,164,N,0,VBM PORTION,27,14,6
BELL,0700008A,199,164,N,1154,TOTAL,97,54,25
BELL,0700010A,200,164,N,1237,POLLING PLACE,71,38,20
BELL,0700010A,200,164,N,0,VBM PORTION,42,26,15
BELL,0700010A,200,164,N,1237,TOTAL,113,64,35
BELL,0700011A,201,164,N,1221,POLLING PLACE,59,36,12
BELL,0700011A,201,164,N,0,VBM PORTION,41,26,13
BELL,0700011A,201,164,N,1221,TOTAL,100,62,25
BELL,0700013A,202,164,N,1063,POLLING PLACE,62,29,20
BELL,0700013A,202,164,N,0,VBM PORTION,52,33,15
BELL,0700013A,202,164,N,1063,TOTAL,114,62,35
BELL,0700017A,203,164,N,946,POLLING PLACE,46,29,11
BELL,0700017A,203,164,N,0,VBM PORTION,20,14,2
BELL,0700017A,203,164,N,946,TOTAL,66,43,13
BELL,0700018A,204,164,N,1098,POLLING PLACE,64,35,14
BELL,0700018A,204,164,N,0,VBM PORTION,28,16,10
BELL,0700018A,204,164,N,1098,TOTAL,92,51,24
BELLFLOWER,0750006A,205,139,N,881,POLLING PLACE,32,13,4
BELLFLOWER,0750006A,205,139,N,0,VBM PORTION,66,33,16
BELLFLOWER,0750006A,205,139,N,881,TOTAL,98,46,20
BELLFLOWER,0750009A,206,139,N,1116,POLLING PLACE,62,24,18
BELLFLOWER,0750009A,206,139,N,0,VBM PORTION,66,34,10
BELLFLOWER,0750009A,206,139,N,1116,TOTAL,128,58,28
BELLFLOWER,0750010A,207,139,N,1076,POLLING PLACE,55,25,13
BELLFLOWER,0750010A,207,139,N,0,VBM PORTION,36,17,8
BELLFLOWER,0750010A,207,139,N,1076,TOTAL,91,42,21
BELLFLOWER,0750011A,208,139,N,1082,POLLING PLACE,97,41,34
BELLFLOWER,0750011A,208,139,N,0,VBM PORTION,63,19,25
BELLFLOWER,0750011A,208,139,N,1082,TOTAL,160,60,59
BELLFLOWER,0750014A,211,139,N,1050,POLLING PLACE,61,35,9
BELLFLOWER,0750014A,211,139,N,0,VBM PORTION,51,24,15
BELLFLOWER,0750014A,211,139,N,1050,TOTAL,112,59,24
BELLFLOWER,0750016A,212,139,N,1224,POLLING PLACE,63,23,27
BELLFLOWER,0750016A,212,139,N,0,VBM PORTION,77,32,26
BELLFLOWER,0750016A,212,139,N,1224,TOTAL,140,55,53
BELLFLOWER,0750017B,213,139,N,1266,POLLING PLACE,41,16,17
BELLFLOWER,0750017B,213,139,N,0,VBM PORTION,43,25,13
BELLFLOWER,0750017B,213,139,N,1266,TOTAL,84,41,30
BELLFLOWER,0750019A,214,139,N,1161,POLLING PLACE,65,28,17
BELLFLOWER,0750019A,214,139,N,0,VBM PORTION,65,40,9
BELLFLOWER,0750019A,214,139,N,1161,TOTAL,130,68,26
BELLFLOWER,0750021A,215,139,N,856,POLLING PLACE,59,16,19
BELLFLOWER,0750021A,215,139,N,0,VBM PORTION,59,30,14
BELLFLOWER,0750021A,215,139,N,856,TOTAL,118,46,33
BELLFLOWER,0750024A,217,139,N,1096,POLLING PLACE,64,32,20
BELLFLOWER,0750024A,217,139,N,0,VBM PORTION,59,30,20
BELLFLOWER,0750024A,217,139,N,1096,TOTAL,123,62,40
BELLFLOWER,0750025A,218,139,N,607,POLLING PLACE,37,18,12
BELLFLOWER,0750025A,218,139,N,0,VBM PORTION,60,32,15
BELLFLOWER,0750025A,218,139,N,607,TOTAL,97,50,27
BELLFLOWER,0750028A,220,139,N,1236,POLLING PLACE,81,34,19
BELLFLOWER,0750028A,220,139,N,0,VBM PORTION,70,24,29
BELLFLOWER,0750028A,220,139,N,1236,TOTAL,151,58,48
BELLFLOWER,0750037B,230,139,N,597,POLLING PLACE,44,14,13
BELLFLOWER,0750037B,230,139,N,0,VBM PORTION,31,12,12
BELLFLOWER,0750037B,230,139,N,597,TOTAL,75,26,25
BELLFLOWER,0750042A,234,139,N,1215,POLLING PLACE,84,39,12
BELLFLOWER,0750042A,234,139,N,0,VBM PORTION,61,24,15
BELLFLOWER,0750042A,234,139,N,1215,TOTAL,145,63,27
BELLFLOWER,0750044A,236,139,N,984,POLLING PLACE,74,24,23
BELLFLOWER,0750044A,236,139,N,0,VBM PORTION,55,25,11
BELLFLOWER,0750044A,236,139,N,984,TOTAL,129,49,34
BELLFLOWER,0750045A,237,139,N,739,POLLING PLACE,58,22,17
BELLFLOWER,0750045A,237,139,N,0,VBM PORTION,42,23,11
BELLFLOWER,0750045A,237,139,N,739,TOTAL,100,45,28
BELL GARDENS,0800001A,240,136,N,1120,POLLING PLACE,43,22,13
BELL GARDENS,0800001A,240,136,N,0,VBM PORTION,28,16,11
BELL GARDENS,0800001A,240,136,N,1120,TOTAL,71,38,24
BELL GARDENS,0800002A,241,136,N,1022,POLLING PLACE,47,27,14
BELL GARDENS,0800002A,241,136,N,0,VBM PORTION,21,17,4
BELL GARDENS,0800002A,241,136,N,1022,TOTAL,68,44,18
BELL GARDENS,0800003A,242,136,N,1038,POLLING PLACE,44,23,12
BELL GARDENS,0800003A,242,136,N,0,VBM PORTION,25,12,10
BELL GARDENS,0800003A,242,136,N,1038,TOTAL,69,35,22
BELL GARDENS,0800004A,243,136,N,1210,POLLING PLACE,44,26,12
BELL GARDENS,0800004A,243,136,N,0,VBM PORTION,25,17,7
BELL GARDENS,0800004A,243,136,N,1210,TOTAL,69,43,19
BELL GARDENS,0800005A,244,136,N,1133,POLLING PLACE,34,11,10
BELL GARDENS,0800005A,244,136,N,0,VBM PORTION,23,16,7
BELL GARDENS,0800005A,244,136,N,1133,TOTAL,57,27,17
BELL GARDENS,0800006A,245,136,N,970,POLLING PLACE,49,35,8
BELL GARDENS,0800006A,245,136,N,0,VBM PORTION,24,17,5
BELL GARDENS,0800006A,245,136,N,970,TOTAL,73,52,13
BELL GARDENS,0800007A,246,136,N,1108,POLLING PLACE,69,39,17
BELL GARDENS,0800007A,246,136,N,0,VBM PORTION,34,21,9
BELL GARDENS,0800007A,246,136,N,1108,TOTAL,103,60,26
BELL GARDENS,0800009A,247,136,N,1058,POLLING PLACE,38,19,11
BELL GARDENS,0800009A,247,136,N,0,VBM PORTION,33,24,8
BELL GARDENS,0800009A,247,136,N,1058,TOTAL,71,43,19
BELL GARDENS,0800011A,248,136,N,573,POLLING PLACE,11,4,5
BELL GARDENS,0800011A,248,136,N,0,VBM PORTION,7,4,3
BELL GARDENS,0800011A,248,136,N,573,TOTAL,18,8,8
