LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
37TH US CONGRESSIONAL,N,383577,POLLING PLACE,35923,25421,4036,2117
37TH US CONGRESSIONAL,N,0,VBM PORTION,31241,22218,4494,1560
37TH US CONGRESSIONAL,N,383577,TOTAL,67145,47639,8530,3677
